Age,Gender,Location_Type,Budget_Range,Practical_Skills,Interest_Area,Work_Mode,Risk_Tolerance,Recommended_Business_Idea,Business_Category,Feasibility_Score
31,Female,Semi-Urban,High (50k+),"Cleaning, Domestic Work",Retail,Both,Low,Beauty & Hair Care Services,Beauty,0.79
43,Female,Urban,High (50k+),"Beautician, Hair Styling",Food,Offline,High,Homemade Pickle & Snack Sales,Food & Beverage,0.82
25,Male,Urban,Medium (10k–50k),"Cleaning, Domestic Work",Art & Craft,Online,Medium,Beauty & Hair Care Services,Beauty,0.73
20,Female,Semi-Urban,Medium (10k–50k),"Gardening, Plant Care",Food,Offline,High,Home Cleaning Services,Domestic Services,0.86
36,Female,Urban,Low (0–10k),"Gardening, Plant Care",Technology,Online,Medium,WhatsApp-based Reselling,E-commerce,0.88
33,Female,Rural,Low (0–10k),"Tailoring, Stitching",Clothing,Offline,Low,Small-scale Dairy Farming,Agriculture,0.71
21,Female,Rural,Medium (10k–50k),"Gardening, Plant Care",Retail,Online,High,Plant Nursery Business,Agriculture,0.71
41,Female,Semi-Urban,Medium (10k–50k),"Cooking, Snack Making",Retail,Both,High,Plant Nursery Business,Agriculture,0.78
23,Female,Urban,High (50k+),"Beautician, Hair Styling",Food,Both,Low,Home-based Tailoring Service,Apparel,0.69
45,Male,Rural,Low (0–10k),"Beautician, Hair Styling",Clothing,Online,Low,Beauty & Hair Care Services,Beauty,0.88
41,Female,Semi-Urban,Medium (10k–50k),"Cleaning, Domestic Work",Agriculture,Both,High,Small-scale Dairy Farming,Agriculture,0.79
28,Female,Rural,High (50k+),"Farming, Animal Care",Art & Craft,Both,High,Homemade Pickle & Snack Sales,Food & Beverage,0.89
23,Female,Rural,Low (0–10k),"Gardening, Plant Care",Education,Online,Medium,Home Cleaning Services,Domestic Services,0.77
34,Female,Semi-Urban,Medium (10k–50k),"Gardening, Plant Care",Education,Online,High,Small-scale Dairy Farming,Agriculture,0.78
45,Male,Urban,Medium (10k–50k),"Gardening, Plant Care",Education,Online,Medium,Event Photography,Creative Services,0.91
21,Female,Urban,Low (0–10k),"Farming, Animal Care",Education,Offline,Medium,Home-based Tailoring Service,Apparel,0.71
42,Female,Semi-Urban,Low (0–10k),"Photography, Video Editing",Clothing,Offline,High,Beauty & Hair Care Services,Beauty,0.68
35,Female,Urban,Medium (10k–50k),"Handicrafts, Weaving",Education,Both,Medium,Plant Nursery Business,Agriculture,0.75
32,Female,Semi-Urban,High (50k+),"Handicrafts, Weaving",Technology,Offline,High,Home Cleaning Services,Domestic Services,0.73
49,Female,Urban,Medium (10k–50k),"Photography, Video Editing",Beauty,Both,Medium,Small-scale Dairy Farming,Agriculture,0.77
28,Female,Urban,High (50k+),"Photography, Video Editing",Retail,Both,Low,Home-based Tailoring Service,Apparel,0.78
50,Female,Rural,Medium (10k–50k),"Teaching Kids, Storytelling",Education,Both,Medium,Plant Nursery Business,Agriculture,0.64
45,Male,Semi-Urban,Medium (10k–50k),"Beautician, Hair Styling",Beauty,Offline,High,Event Photography,Creative Services,0.85
31,Female,Urban,High (50k+),"Teaching Kids, Storytelling",Technology,Offline,Medium,Home-based Tailoring Service,Apparel,0.94
49,Female,Rural,High (50k+),"Cleaning, Domestic Work",Education,Online,Medium,Handmade Craft & Jewelry Sales,Art & Craft,0.72
43,Female,Semi-Urban,Medium (10k–50k),"Beautician, Hair Styling",Art & Craft,Online,Medium,Handmade Craft & Jewelry Sales,Art & Craft,0.85
37,Female,Semi-Urban,Medium (10k–50k),"Handicrafts, Weaving",Technology,Online,Medium,Handmade Craft & Jewelry Sales,Art & Craft,0.75
32,Female,Urban,Low (0–10k),"Photography, Video Editing",Art & Craft,Offline,High,Home-based Tailoring Service,Apparel,0.71
46,Male,Urban,High (50k+),"Cooking, Snack Making",Agriculture,Offline,Medium,Home-based Tailoring Service,Apparel,0.68
47,Female,Semi-Urban,Low (0–10k),"Photography, Video Editing",Clothing,Online,High,Beauty & Hair Care Services,Beauty,0.75
31,Female,Semi-Urban,Medium (10k–50k),"Farming, Animal Care",Education,Both,High,Home Cleaning Services,Domestic Services,0.79
35,Male,Urban,Medium (10k–50k),"Handicrafts, Weaving",Education,Offline,Medium,Plant Nursery Business,Agriculture,0.8
21,Female,Rural,High (50k+),"Tailoring, Stitching",Technology,Both,High,Event Photography,Creative Services,0.92
39,Female,Semi-Urban,Medium (10k–50k),"Cooking, Snack Making",Agriculture,Offline,Low,Beauty & Hair Care Services,Beauty,0.81
44,Male,Urban,Medium (10k–50k),"Teaching Kids, Storytelling",Agriculture,Online,Medium,WhatsApp-based Reselling,E-commerce,0.92
42,Male,Semi-Urban,Low (0–10k),"Smartphone Usage, Online Sales",Retail,Both,Medium,Plant Nursery Business,Agriculture,0.8
42,Female,Semi-Urban,High (50k+),"Farming, Animal Care",Clothing,Offline,High,Event Photography,Creative Services,0.75
28,Male,Rural,Low (0–10k),"Tailoring, Stitching",Art & Craft,Offline,Low,Home-based Tailoring Service,Apparel,0.69
32,Female,Semi-Urban,Medium (10k–50k),"Beautician, Hair Styling",Food,Online,Medium,Small-scale Dairy Farming,Agriculture,0.61
39,Female,Urban,High (50k+),"Cooking, Snack Making",Beauty,Offline,High,Event Photography,Creative Services,0.75
36,Female,Semi-Urban,High (50k+),"Cooking, Snack Making",Art & Craft,Offline,High,Home Cleaning Services,Domestic Services,0.84
35,Female,Semi-Urban,Medium (10k–50k),"Smartphone Usage, Online Sales",Clothing,Offline,Low,Small-scale Dairy Farming,Agriculture,0.79
47,Female,Rural,Low (0–10k),"Farming, Animal Care",Art & Craft,Both,Low,Beauty & Hair Care Services,Beauty,0.75
22,Female,Urban,Low (0–10k),"Cleaning, Domestic Work",Agriculture,Both,Low,Event Photography,Creative Services,0.67
26,Female,Semi-Urban,High (50k+),"Beautician, Hair Styling",Retail,Offline,High,Beauty & Hair Care Services,Beauty,0.85
39,Female,Urban,Medium (10k–50k),"Farming, Animal Care",Art & Craft,Online,Low,Beauty & Hair Care Services,Beauty,0.81
20,Female,Semi-Urban,Medium (10k–50k),"Tailoring, Stitching",Art & Craft,Online,Low,Event Photography,Creative Services,0.93
23,Female,Rural,Medium (10k–50k),"Cooking, Snack Making",Technology,Offline,Low,WhatsApp-based Reselling,E-commerce,0.65
26,Female,Rural,High (50k+),"Handicrafts, Weaving",Technology,Offline,High,Small-scale Dairy Farming,Agriculture,0.87
25,Male,Rural,Medium (10k–50k),"Teaching Kids, Storytelling",Beauty,Online,High,Homemade Pickle & Snack Sales,Food & Beverage,0.8
24,Female,Urban,Low (0–10k),"Cooking, Snack Making",Education,Online,Low,Plant Nursery Business,Agriculture,0.64
49,Female,Urban,High (50k+),"Tailoring, Stitching",Food,Online,High,WhatsApp-based Reselling,E-commerce,0.85
31,Male,Urban,Medium (10k–50k),"Smartphone Usage, Online Sales",Art & Craft,Online,Low,Home-based Tailoring Service,Apparel,0.78
34,Female,Rural,Low (0–10k),"Photography, Video Editing",Food,Online,Low,Home Tuition for Kids,Education,0.72
41,Male,Rural,Medium (10k–50k),"Teaching Kids, Storytelling",Art & Craft,Online,High,Plant Nursery Business,Agriculture,0.67
25,Male,Rural,Low (0–10k),"Beautician, Hair Styling",Art & Craft,Online,High,Small-scale Dairy Farming,Agriculture,0.87
42,Female,Urban,Medium (10k–50k),"Farming, Animal Care",Beauty,Online,Low,Beauty & Hair Care Services,Beauty,0.89
29,Female,Urban,High (50k+),"Teaching Kids, Storytelling",Technology,Online,High,Event Photography,Creative Services,0.7
29,Male,Urban,High (50k+),"Photography, Video Editing",Art & Craft,Online,Low,WhatsApp-based Reselling,E-commerce,0.84
42,Female,Rural,Medium (10k–50k),"Smartphone Usage, Online Sales",Agriculture,Offline,Medium,Home-based Tailoring Service,Apparel,0.87
38,Female,Rural,High (50k+),"Photography, Video Editing",Beauty,Both,High,Home-based Tailoring Service,Apparel,0.83
49,Male,Rural,Medium (10k–50k),"Smartphone Usage, Online Sales",Art & Craft,Offline,Medium,Homemade Pickle & Snack Sales,Food & Beverage,0.64
24,Female,Urban,Medium (10k–50k),"Cleaning, Domestic Work",Clothing,Online,Low,Plant Nursery Business,Agriculture,0.67
20,Male,Semi-Urban,Medium (10k–50k),"Beautician, Hair Styling",Education,Both,Medium,Home Cleaning Services,Domestic Services,0.84
