Age,Gender,Location_Type,Budget_Range,Practical_Skills,Interest_Area,Work_Mode,Risk_Tolerance,Available_Time_Per_Day,Literacy_Level,Assets_Owned,Community_Support_Level,Recommended_Business_Idea,Business_Category,Feasibility_Score,User_Satisfaction
27,Female,Semi-Urban,Low,"Crafting, Teaching",Agriculture,Outdoor,High,8,Primary,Land + Vehicle,Low,Poultry Business,Agriculture,0.74,0.7
55,Female,Rural,Low,"Crafting, Pickle Making, Sewing",Beauty,Home-based,Low,7,Secondary,Land + Vehicle,Low,Mehendi Services,Beauty,0.51,0.67
28,Male,Semi-Urban,Medium,"Home Cleaning, Sewing, Crafting",Education,Home-based,Low,9,Secondary,Land + Vehicle,Medium,Home Tuition,Education,0.48,0.74
39,Female,Semi-Urban,Medium,"Food Delivery, Pickle Making, Mobile Repair, Photography",Creative Services,Outdoor,Medium,4,Secondary,None,Medium,Video Editing Service,Creative Services,0.77,0.61
33,Female,Semi-Urban,Low,"Mobile Repair, Daycare Management, Dairy Management",Art & Craft,Outdoor,High,6,Primary,None,Low,Candle Making,Art & Craft,0.92,0.61
41,Female,Urban,Medium,"Mushroom Cultivation, Paper Craft, Video Editing",E-commerce,Home-based,Medium,8,Secondary,Vehicle,High,Dropshipping,E-commerce,0.86,0.51
19,Male,Semi-Urban,Low,"Cooking, Photography",Creative Services,Outdoor,Low,4,None,Vehicle,High,Photography Studio,Creative Services,0.8,0.93
27,Female,Rural,Low,"Food Delivery, Tailoring, Farming",Food & Beverage,Home-based,High,5,Secondary,Phone + Internet,Low,Homemade Pickles,Food & Beverage,0.59,0.65
49,Female,Semi-Urban,Medium,"Baking, Food Delivery, Video Editing",Agriculture,Outdoor,Medium,4,Primary,Vehicle,Low,Poultry Business,Agriculture,0.9,0.79
32,Female,Urban,Medium,"Mushroom Cultivation, Video Editing",Creative Services,Hybrid,High,10,Secondary,Land + Vehicle,High,Photography Studio,Creative Services,0.6,0.59
47,Female,Rural,Low,"Daycare Management, Dairy Management",Food & Beverage,Hybrid,High,4,Primary,Land,Low,Spice Mixing,Food & Beverage,0.75,0.61
20,Female,Rural,Low,"Photography, Paper Craft",Apparel,Outdoor,Low,4,None,Internet,Medium,Tailoring Business,Apparel,0.73,0.65
39,Female,Rural,Low,"Mushroom Cultivation, Crafting, Food Delivery",Beauty,Hybrid,Medium,5,None,Land + Vehicle,Low,Home Salon,Beauty,0.87,0.94
24,Male,Urban,Medium,"Pickle Making, Mushroom Cultivation, Photography, Baking",Art & Craft,Home-based,Low,5,None,None,Medium,Jewelry Design,Art & Craft,0.54,0.65
38,Female,Rural,Medium,"Reselling, Content Creation, Digital Marketing",Technology,Hybrid,High,4,Secondary,Phone + Internet,High,Digital Marketing Agency,Technology,0.68,0.56
23,Female,Semi-Urban,Medium,"Hair Styling, Pickle Making",Agriculture,Hybrid,Medium,8,Primary,Internet,Medium,Dairy Farming,Agriculture,0.87,0.68
34,Female,Semi-Urban,Low,"Mobile Repair, Video Editing, Hair Styling",Creative Services,Hybrid,High,2,Secondary,Land,Low,Photography Studio,Creative Services,0.87,0.72
